"","Name","Year","FI_Rate","Type"
"517","Henry County, Virginia",2024,16.16,"Forecasted"
"518","Henry County, Virginia",2025,16.01,"Forecasted"
"519","Henry County, Virginia",2026,16.03,"Forecasted"
"520","Henry County, Virginia",2027,15.93,"Forecasted"
"521","Lee County, Virginia",2023,18.14,"Forecasted"
"522","Lee County, Virginia",2024,17.69,"Forecasted"
"523","Lee County, Virginia",2025,17.74,"Forecasted"
"524","Lee County, Virginia",2026,17.87,"Forecasted"
"525","Lee County, Virginia",2027,17.97,"Forecasted"
"526","Montgomery County, Virginia",2023,11.87,"Forecasted"
"527","Montgomery County, Virginia",2024,11.73,"Forecasted"
"528","Montgomery County, Virginia",2025,11.82,"Forecasted"
"529","Montgomery County, Virginia",2026,11.78,"Forecasted"
"530","Montgomery County, Virginia",2027,11.66,"Forecasted"
"531","Patrick County, Virginia",2023,12.79,"Forecasted"
"532","Patrick County, Virginia",2024,12.84,"Forecasted"
"533","Patrick County, Virginia",2025,12.79,"Forecasted"
"534","Patrick County, Virginia",2026,13.07,"Forecasted"
"535","Patrick County, Virginia",2027,13.07,"Forecasted"
"536","Pittsylvania County, Virginia",2023,14.2,"Forecasted"
"537","Pittsylvania County, Virginia",2024,14.19,"Forecasted"
"538","Pittsylvania County, Virginia",2025,13.56,"Forecasted"
"539","Pittsylvania County, Virginia",2026,13.27,"Forecasted"
"540","Pittsylvania County, Virginia",2027,13.08,"Forecasted"
"541","Pulaski County, Virginia",2023,11.68,"Forecasted"
"542","Pulaski County, Virginia",2024,11.66,"Forecasted"
"543","Pulaski County, Virginia",2025,11.77,"Forecasted"
"544","Pulaski County, Virginia",2026,11.75,"Forecasted"
"545","Pulaski County, Virginia",2027,11.76,"Forecasted"
"546","Roanoke County, Virginia",2023,8.97,"Forecasted"
"547","Roanoke County, Virginia",2024,9.15,"Forecasted"
"548","Roanoke County, Virginia",2025,9.15,"Forecasted"
"549","Roanoke County, Virginia",2026,9.21,"Forecasted"
"550","Roanoke County, Virginia",2027,9.27,"Forecasted"
"551","Russell County, Virginia",2023,15.99,"Forecasted"
"552","Russell County, Virginia",2024,16.07,"Forecasted"
"553","Russell County, Virginia",2025,15.91,"Forecasted"
"554","Russell County, Virginia",2026,15.83,"Forecasted"
"555","Russell County, Virginia",2027,15.71,"Forecasted"
"556","Scott County, Virginia",2023,15.91,"Forecasted"
"557","Scott County, Virginia",2024,15.87,"Forecasted"
"558","Scott County, Virginia",2025,15.87,"Forecasted"
"559","Scott County, Virginia",2026,15.99,"Forecasted"
"560","Scott County, Virginia",2027,15.99,"Forecasted"
"561","Smyth County, Virginia",2023,14.98,"Forecasted"
"562","Smyth County, Virginia",2024,15.62,"Forecasted"
"563","Smyth County, Virginia",2025,15.69,"Forecasted"
"564","Smyth County, Virginia",2026,15.64,"Forecasted"
"565","Smyth County, Virginia",2027,15.64,"Forecasted"
"566","Tazewell County, Virginia",2023,14.99,"Forecasted"
"567","Tazewell County, Virginia",2024,14.99,"Forecasted"
"568","Tazewell County, Virginia",2025,14.99,"Forecasted"
"569","Tazewell County, Virginia",2026,14.97,"Forecasted"
"570","Tazewell County, Virginia",2027,14.97,"Forecasted"
"571","Washington County, Virginia",2023,12.46,"Forecasted"
"572","Washington County, Virginia",2024,12.44,"Forecasted"
"573","Washington County, Virginia",2025,12.44,"Forecasted"
"574","Washington County, Virginia",2026,12.41,"Forecasted"
"575","Washington County, Virginia",2027,12.41,"Forecasted"
"576","Wise County, Virginia",2023,15.74,"Forecasted"
"577","Wise County, Virginia",2024,15.67,"Forecasted"
"578","Wise County, Virginia",2025,15.65,"Forecasted"
"579","Wise County, Virginia",2026,15.62,"Forecasted"
"580","Wise County, Virginia",2027,15.38,"Forecasted"
"581","Wythe County, Virginia",2023,13.58,"Forecasted"
"582","Wythe County, Virginia",2024,13.5,"Forecasted"
"583","Wythe County, Virginia",2025,13.5,"Forecasted"
"584","Wythe County, Virginia",2026,13.5,"Forecasted"
"585","Wythe County, Virginia",2027,13.48,"Forecasted"
"586","Bristol city, Virginia",2023,14.67,"Forecasted"
"587","Bristol city, Virginia",2024,14.56,"Forecasted"
"588","Bristol city, Virginia",2025,14.39,"Forecasted"
"589","Bristol city, Virginia",2026,14.34,"Forecasted"
"590","Bristol city, Virginia",2027,14.31,"Forecasted"
"591","Covington city, Virginia",2023,14.41,"Forecasted"
"592","Covington city, Virginia",2024,14.41,"Forecasted"
"593","Covington city, Virginia",2025,14.45,"Forecasted"
"594","Covington city, Virginia",2026,14.57,"Forecasted"
"595","Covington city, Virginia",2027,14.45,"Forecasted"
"596","Danville city, Virginia",2023,17.92,"Forecasted"
"597","Danville city, Virginia",2024,17.76,"Forecasted"
"598","Danville city, Virginia",2025,17.28,"Forecasted"
"599","Danville city, Virginia",2026,16.21,"Forecasted"
"600","Danville city, Virginia",2027,16.09,"Forecasted"
"601","Galax city, Virginia",2023,16.11,"Forecasted"
"602","Galax city, Virginia",2024,16.42,"Forecasted"
"603","Galax city, Virginia",2025,16.39,"Forecasted"
"604","Galax city, Virginia",2026,16.48,"Forecasted"
"605","Galax city, Virginia",2027,16.14,"Forecasted"
"606","Martinsville city, Virginia",2023,17.79,"Forecasted"
"607","Martinsville city, Virginia",2024,17.95,"Forecasted"
"608","Martinsville city, Virginia",2025,17.82,"Forecasted"
"609","Martinsville city, Virginia",2026,17.82,"Forecasted"
"610","Martinsville city, Virginia",2027,17.82,"Forecasted"
"611","Norton city, Virginia",2023,19.33,"Forecasted"
"612","Norton city, Virginia",2024,19.21,"Forecasted"
"613","Norton city, Virginia",2025,19.28,"Forecasted"
"614","Norton city, Virginia",2026,19.06,"Forecasted"
"615","Norton city, Virginia",2027,19.06,"Forecasted"
"616","Radford city, Virginia",2023,18.23,"Forecasted"
"617","Radford city, Virginia",2024,18.29,"Forecasted"
"618","Radford city, Virginia",2025,18.29,"Forecasted"
"619","Radford city, Virginia",2026,18.51,"Forecasted"
"620","Radford city, Virginia",2027,18.51,"Forecasted"
"621","Roanoke city, Virginia",2023,14.32,"Forecasted"
"622","Roanoke city, Virginia",2024,13.95,"Forecasted"
"623","Roanoke city, Virginia",2025,14.02,"Forecasted"
"624","Roanoke city, Virginia",2026,13.9,"Forecasted"
"625","Roanoke city, Virginia",2027,13.81,"Forecasted"
"626","Salem city, Virginia",2023,9.32,"Forecasted"
"627","Salem city, Virginia",2024,9.15,"Forecasted"
"628","Salem city, Virginia",2025,8.98,"Forecasted"
"629","Salem city, Virginia",2026,9.29,"Forecasted"
"630","Salem city, Virginia",2027,9.57,"Forecasted"
"631","SWVA Total",2010,14,"Actual"
"632","SWVA Total",2011,12.6,"Actual"
"633","SWVA Total",2012,13.01,"Actual"
"634","SWVA Total",2013,13.61,"Actual"
"635","SWVA Total",2014,13.28,"Actual"
"636","SWVA Total",2015,13.01,"Actual"
"637","SWVA Total",2016,12.61,"Actual"
"638","SWVA Total",2017,12.36,"Actual"
"639","SWVA Total",2018,13.3,"Actual"
"640","SWVA Total",2019,13.86,"Actual"
"641","SWVA Total",2020,13.49,"Actual"
"642","SWVA Total",2021,12.14,"Actual"
"643","SWVA Total",2022,15.26,"Actual"
"644","SWVA Total",2023,13.91,"Forecasted"
"645","SWVA Total",2024,13.89,"Forecasted"
"646","SWVA Total",2025,13.84,"Forecasted"
"647","SWVA Total",2026,13.84,"Forecasted"
"648","SWVA Total",2027,13.8,"Forecasted"
