Year,GEOID,Name,FI_Rate,CostPerMeal,Percent_EMPLOYMENT_STATUS_Civilian_labor_force_Unemployment_Rate,Percent_INCOME_AND_BENEFITS_IN_2022_INFLATIONADJUSTED_DOLLARS_Total_households_Less_than_10000,Percent_INCOME_AND_BENEFITS_IN_2022_INFLATIONADJUSTED_DOLLARS_Total_households_10000_to_14999,Percent_INCOME_AND_BENEFITS_IN_2022_INFLATIONADJUSTED_DOLLARS_Total_households_15000_to_24999,Percent_INCOME_AND_BENEFITS_IN_2022_INFLATIONADJUSTED_DOLLARS_Total_households_25000_to_34999,Percent_INCOME_AND_BENEFITS_IN_2022_INFLATIONADJUSTED_DOLLARS_Total_households_35000_to_49999,Percent_INCOME_AND_BENEFITS_IN_2022_INFLATIONADJUSTED_DOLLARS_Total_households_50000_to_74999,Percent_INCOME_AND_BENEFITS_IN_2022_INFLATIONADJUSTED_DOLLARS_Total_households_75000_to_99999,Percent_INCOME_AND_BENEFITS_IN_2022_INFLATIONADJUSTED_DOLLARS_Total_households_100000_to_149999,Percent_INCOME_AND_BENEFITS_IN_2022_INFLATIONADJUSTED_DOLLARS_Total_households_With_Social_Security,Percent_INCOME_AND_BENEFITS_IN_2022_INFLATIONADJUSTED_DOLLARS_Total_households_With_retirement_income,Percent_INCOME_AND_BENEFITS_IN_2022_INFLATIONADJUSTED_DOLLARS_Total_households_With_Food_Stamp.SNAP_benefits_in_the_past_12_months,Estimate_EDUCATIONAL_ATTAINMENT_Population_25_years_and_over_Less_than_9th_grade,Estimate_EDUCATIONAL_ATTAINMENT_Population_25_years_and_over_High_school_graduate_includes_equivalency,Estimate_EDUCATIONAL_ATTAINMENT_Population_25_years_and_over_Bachelors_degree,Percent_VEHICLES_AVAILABLE_Occupied_housing_units_No_vehicles_available,Percent_VEHICLES_AVAILABLE_Occupied_housing_units_1_vehicle_available,Percent_VEHICLES_AVAILABLE_Occupied_housing_units_2_vehicles_available,Percent_GROSS_RENT_AS_A_PERCENTAGE_OF_HOUSEHOLD_INCOME_GRAPI_Occupied_units_paying_rent_excluding_units_where_GRAPI_cannot_be_computed_Less_than_15.0_percent,Percent_GROSS_RENT_AS_A_PERCENTAGE_OF_HOUSEHOLD_INCOME_GRAPI_Occupied_units_paying_rent_excluding_units_where_GRAPI_cannot_be_computed_30.0_to_34.9_percent,Percent_GROSS_RENT_AS_A_PERCENTAGE_OF_HOUSEHOLD_INCOME_GRAPI_Occupied_units_paying_rent_excluding_units_where_GRAPI_cannot_be_computed_35.0_percent_or_more,Percent_SEX_AND_AGE_Total_population_Female,age19AndUnder,Percent_SEX_AND_AGE_Total_population_20_to_24_years,Percent_SEX_AND_AGE_Total_population_25_to_34_years,Percent_SEX_AND_AGE_Total_population_45_to_54_years,Percent_SEX_AND_AGE_Total_population_55_to_59_years,Percent_SEX_AND_AGE_Total_population_60_to_64_years,age65AndOver,Percent_HISPANIC_OR_LATINO_AND_RACE_Total_population_Hispanic_or_Latino_of_any_race,Percent_HISPANIC_OR_LATINO_AND_RACE_Total_population_Not_Hispanic_or_Latino_White_alone,Percent_HISPANIC_OR_LATINO_AND_RACE_Total_population_Not_Hispanic_or_Latino_Black_or_African_American_alone,Percent_HISPANIC_OR_LATINO_AND_RACE_Total_population_Not_Hispanic_or_Latino_Asian_alone
2011,51640,"Galax city, Virginia",16.2,2.66,3.8,16.7,18.2,15.5,10.7,12.5,12.7,7.5,4.9,44.6,18.6,22.4,659.0,1838.0,475.0,10.4,38.4,34.0,23.1,5.9,41.4,51.8,19.1,4.1,17.3,12.2,5.3,6.2,26.4,13.3,81.2,3.8,0.0
2011,51690,"Martinsville city, Virginia",26.0,2.56,12.9,16.0,10.4,16.1,11.0,15.3,15.9,7.1,5.3,38.1,19.4,24.1,865.0,2914.0,1207.0,16.9,36.5,30.7,16.8,6.6,50.2,55.1,23.5,5.4,10.0,15.1,6.7,6.5,19.3,3.8,49.2,44.6,0.7
2011,51720,"Norton city, Virginia",14.1,2.61,5.5,10.3,11.5,15.7,12.0,10.4,25.8,6.7,5.8,39.0,16.6,24.7,163.0,549.0,372.0,10.5,40.2,34.7,23.4,10.1,28.2,56.4,25.8,7.5,10.6,15.5,9.2,4.2,13.1,0.0,90.7,6.8,0.4
2011,51750,"Radford city, Virginia",18.7,2.94,9.8,15.6,11.7,18.6,9.1,10.6,14.3,8.3,8.9,23.7,10.7,13.1,253.0,1508.0,1346.0,6.6,39.0,36.5,5.8,9.7,59.1,53.5,32.8,27.5,8.8,8.8,3.1,2.6,8.8,2.4,85.9,7.6,2.0
2011,51770,"Roanoke city, Virginia",17.2,2.68,7.1,11.7,7.5,13.4,14.0,17.1,17.6,9.5,5.8,30.2,15.2,17.7,4934.0,20115.0,9622.0,13.4,40.4,30.6,13.4,8.6,41.2,52.5,24.0,6.7,14.7,14.5,6.7,5.9,14.3,5.0,62.5,27.7,1.6
2011,51775,"Salem city, Virginia",9.8,2.84,6.9,4.8,5.9,11.3,12.7,18.0,19.3,12.0,8.1,33.7,22.0,6.2,768.0,4863.0,2941.0,6.2,33.2,39.1,14.2,10.2,35.5,52.5,24.8,9.0,9.6,14.6,6.3,6.5,16.9,2.3,87.6,7.1,1.5
2012,51005,"Alleghany County, Virginia",10.0,2.88,5.8,4.7,6.0,14.5,9.9,17.7,20.4,12.5,10.6,45.2,23.7,8.6,808.0,4345.0,1160.0,6.3,23.3,31.5,20.2,11.6,30.9,51.2,23.0,4.6,8.4,15.1,8.7,6.6,20.8,1.0,92.4,4.9,0.8
2012,51019,"Bedford County, Virginia",8.3,3.01,6.3,4.8,4.6,8.8,10.6,14.9,20.8,14.7,13.4,33.8,21.8,7.4,2123.0,16095.0,7584.0,4.4,20.4,37.0,20.0,7.2,38.3,50.6,24.1,4.5,9.0,16.9,8.4,6.8,16.4,1.6,90.1,5.5,1.0
2012,51021,"Bland County, Virginia",9.8,2.73,8.2,8.1,7.1,10.9,13.1,21.5,22.6,9.1,5.2,45.6,32.2,11.7,414.0,2188.0,356.0,6.0,33.5,23.9,18.6,9.3,18.9,43.5,19.5,5.6,9.9,15.1,7.8,7.4,17.6,0.3,96.6,2.8,0.0
2012,51023,"Botetourt County, Virginia",7.1,3.03,5.0,3.0,3.8,7.5,8.5,13.4,19.8,20.5,14.8,34.4,19.5,3.8,808.0,8290.0,3610.0,2.1,19.6,39.8,24.8,5.8,29.6,51.0,24.4,4.2,8.1,17.4,7.4,8.3,16.9,1.2,94.0,3.2,0.4
2012,51027,"Buchanan County, Virginia",13.4,2.66,10.4,13.6,9.6,18.4,13.7,14.0,15.9,8.6,4.5,55.1,22.6,23.1,3367.0,5732.0,850.0,8.0,30.6,33.6,13.0,4.4,53.3,49.2,20.7,5.4,11.7,16.7,7.8,7.2,17.1,0.4,96.0,2.0,0.7
2012,51035,"Carroll County, Virginia",12.2,2.67,9.4,9.9,10.1,16.5,15.0,16.2,17.5,7.4,6.0,39.2,21.7,16.0,2425.0,7386.0,1878.0,6.6,28.0,35.7,10.5,10.7,42.1,49.9,22.3,4.5,10.0,15.3,7.6,7.5,19.5,2.6,95.9,0.8,0.1
2012,51045,"Craig County, Virginia",8.5,2.92,4.3,2.1,4.6,10.1,15.6,21.9,17.4,17.2,9.7,37.8,26.0,7.5,181.0,1590.0,362.0,3.0,22.2,32.3,28.7,0.0,10.9,52.0,25.2,3.1,9.4,15.9,8.8,9.1,16.2,0.0,98.0,0.2,0.3
2012,51051,"Dickenson County, Virginia",13.0,2.71,10.1,11.4,9.1,16.8,17.2,13.9,16.9,8.0,5.1,51.1,24.8,18.3,1737.0,3942.0,664.0,8.9,28.5,39.5,23.5,7.9,49.4,49.5,22.8,5.3,11.8,15.6,7.4,7.4,17.1,0.5,98.4,0.4,0.2
2012,51063,"Floyd County, Virginia",9.8,2.84,7.0,5.7,10.5,11.7,9.8,17.8,21.8,11.6,7.2,36.3,15.8,13.7,831.0,3900.0,1441.0,3.9,25.3,36.8,42.9,8.1,13.2,51.3,24.0,4.3,10.7,14.7,6.5,8.8,17.8,2.7,94.2,1.2,0.6
2012,51067,"Franklin County, Virginia",10.6,2.83,8.8,7.2,7.1,13.1,11.6,15.6,19.5,11.9,9.3,37.5,21.6,13.0,3167.0,13980.0,4746.0,5.8,22.0,35.9,16.1,11.2,36.7,50.6,23.5,5.2,10.0,15.7,7.4,7.9,18.0,2.5,87.5,8.5,0.3
2012,51071,"Giles County, Virginia",10.6,2.96,6.8,7.3,7.1,12.9,9.9,16.8,21.4,12.1,8.2,40.0,26.4,11.8,1076.0,4473.0,1189.0,6.7,27.7,37.9,28.8,2.2,31.6,50.9,23.7,5.4,10.0,14.6,6.6,8.1,18.0,1.2,95.9,1.3,0.2
2012,51077,"Grayson County, Virginia",12.8,2.79,6.8,10.1,9.4,20.6,14.2,14.1,16.4,8.4,5.0,44.1,16.1,18.2,1404.0,4447.0,982.0,7.1,26.8,38.7,21.5,8.4,36.4,51.3,20.9,4.4,9.5,15.2,7.8,8.3,21.2,2.7,94.1,2.3,0.0
2012,51089,"Henry County, Virginia",14.8,2.66,12.5,9.4,8.3,16.8,16.4,16.0,17.2,8.5,4.9,40.0,23.8,16.1,3911.0,13702.0,2949.0,7.3,30.2,33.0,18.4,7.7,39.8,52.0,22.9,5.1,10.1,15.6,7.1,7.0,19.7,4.8,71.4,21.8,0.5
2012,51105,"Lee County, Virginia",13.8,2.65,9.1,12.8,9.7,17.5,13.5,15.2,17.5,8.9,4.1,50.3,23.5,21.1,2579.0,5976.0,1546.0,9.2,29.3,34.3,10.2,7.4,48.2,47.5,22.3,5.6,12.3,15.4,7.6,6.2,16.2,1.6,93.4,3.6,0.2
2012,51121,"Montgomery County, Virginia",14.7,3.17,6.2,11.6,7.2,12.6,9.3,14.6,16.2,11.4,10.2,22.1,15.8,7.3,1801.0,11746.0,10221.0,5.3,31.0,38.1,8.5,8.2,53.3,47.9,26.4,20.8,12.9,10.4,4.9,4.3,9.9,2.7,85.7,3.8,5.6
2012,51141,"Patrick County, Virginia",12.2,2.77,11.5,8.3,7.9,14.7,17.8,20.0,18.9,6.9,4.3,45.9,23.9,13.9,1553.0,4744.0,898.0,6.4,27.6,33.8,16.8,15.0,28.7,50.2,21.3,4.7,8.6,15.2,7.6,7.6,21.7,2.4,90.1,6.8,0.0
2012,51143,"Pittsylvania County, Virginia",12.6,2.81,8.8,7.9,7.5,13.2,13.9,15.2,20.4,11.2,7.7,37.5,23.8,14.5,4381.0,15800.0,4262.0,5.7,25.5,34.1,17.9,10.4,34.5,50.8,23.2,5.1,9.9,16.5,7.7,7.3,17.4,2.1,74.2,21.8,0.3
2012,51155,"Pulaski County, Virginia",11.5,2.82,9.6,8.3,6.8,14.9,11.2,15.8,21.6,10.4,8.3,38.8,25.0,14.9,1897.0,8062.0,2702.0,7.7,30.0,34.9,17.8,9.9,41.4,50.2,21.3,5.2,10.9,15.1,7.6,7.8,18.0,1.3,91.5,5.2,0.5
2012,51161,"Roanoke County, Virginia",8.3,3.01,4.7,3.7,3.9,7.6,10.2,13.7,20.2,16.8,15.5,33.0,20.6,4.6,2265.0,17283.0,13962.0,4.1,28.5,39.5,17.8,9.1,29.6,52.3,24.0,4.9,10.1,15.4,7.5,6.9,17.4,2.2,88.3,5.2,2.6
2012,51167,"Russell County, Virginia",13.0,2.7,8.2,11.8,11.0,16.7,13.8,14.0,16.0,8.8,6.1,48.0,20.2,20.0,3237.0,7489.0,1355.0,9.6,30.3,32.0,22.1,4.6,47.6,50.7,22.1,5.6,11.6,16.0,8.5,6.3,16.7,0.4,97.2,1.4,0.3
2012,51169,"Scott County, Virginia",12.3,2.77,8.5,10.8,10.5,13.8,12.0,17.9,14.7,12.3,6.0,44.7,21.6,12.4,2500.0,6536.0,1178.0,9.0,27.8,32.4,22.3,5.8,42.4,50.1,21.4,5.3,10.7,14.9,7.7,7.0,19.8,1.0,97.4,0.7,0.2
2012,51173,"Smyth County, Virginia",13.6,2.68,7.5,9.9,10.4,15.7,14.6,15.0,18.0,8.5,5.3,40.9,21.7,16.6,2582.0,8838.0,2044.0,8.4,33.9,33.4,20.2,3.8,39.9,51.1,23.3,5.3,10.6,14.7,7.5,6.8,18.4,1.6,95.2,1.9,0.3
2012,51185,"Tazewell County, Virginia",12.3,2.62,7.5,9.1,9.2,17.0,13.5,15.9,16.8,9.4,6.4,47.8,21.9,15.7,3617.0,10910.0,2895.0,8.8,28.0,39.3,15.4,6.9,37.1,50.6,22.5,5.3,11.8,15.0,8.0,7.3,17.4,0.7,94.6,2.7,0.3
2012,51191,"Washington County, Virginia",10.6,2.73,6.4,7.5,5.9,12.8,14.3,16.7,19.4,10.2,8.6,40.9,20.9,10.6,3068.0,12803.0,5325.0,5.6,28.7,38.8,17.5,10.3,28.4,50.9,22.2,5.4,10.8,15.5,6.8,8.0,18.0,1.3,96.2,1.2,0.4
2012,51195,"Wise County, Virginia",14.2,2.73,10.4,12.7,9.9,14.9,12.3,14.0,16.3,9.5,8.2,44.8,20.4,20.4,3713.0,9240.0,2486.0,9.8,30.2,38.8,17.1,4.5,48.3,48.1,23.5,7.3,13.8,14.3,6.0,7.1,14.3,1.2,92.3,5.1,0.4
2012,51197,"Wythe County, Virginia",11.3,2.88,9.3,9.7,6.7,15.6,11.7,16.8,18.6,11.3,6.6,39.5,23.1,13.9,1624.0,7121.0,2081.0,7.1,30.2,35.6,16.0,5.6,33.5,50.8,23.3,5.2,10.9,14.8,7.5,7.1,17.6,1.0,94.5,3.8,0.6
2012,51515,"Bedford city, Virginia",16.7,2.89,6.3,14.9,6.9,13.1,13.8,16.6,19.7,2.5,9.1,33.3,19.4,20.2,337.0,1452.0,593.0,13.7,42.0,22.3,2.9,12.5,56.3,55.3,22.3,5.9,11.5,15.8,9.6,3.3,20.5,1.7,74.4,21.5,0.4
2012,51520,"Bristol city, Virginia",15.5,2.81,12.8,11.6,10.2,17.9,14.8,16.1,16.5,7.4,3.1,43.0,19.5,20.0,968.0,3857.0,1587.0,12.1,40.0,34.4,17.6,7.6,36.8,53.3,23.4,6.2,12.8,13.7,6.7,5.7,19.1,0.8,90.3,5.9,0.8
2012,51580,"Covington city, Virginia",15.4,2.68,5.2,8.3,10.1,15.9,14.3,17.0,18.5,8.9,5.1,40.4,27.4,12.9,356.0,1422.0,236.0,9.5,41.5,33.0,12.4,2.1,48.5,49.5,24.9,6.3,8.4,16.8,8.0,4.8,18.7,1.9,82.9,12.1,0.5
2012,51590,"Danville city, Virginia",21.7,2.46,15.5,14.9,11.0,16.9,12.0,15.9,14.7,6.3,5.7,39.0,23.5,23.4,2600.0,8635.0,2954.0,16.6,38.0,28.4,13.4,6.0,49.3,54.3,24.3,7.0,10.9,14.1,7.2,6.8,18.9,2.9,46.5,48.2,1.0
2012,51640,"Galax city, Virginia",15.2,2.76,7.0,14.9,13.0,23.9,10.3,11.9,10.7,8.6,5.2,43.3,18.2,25.9,612.0,1636.0,469.0,11.5,40.5,27.6,21.3,7.9,45.7,54.1,20.2,4.4,15.8,12.9,5.9,6.1,24.9,14.1,80.9,3.9,0.1
2012,51690,"Martinsville city, Virginia",24.3,2.62,15.7,16.3,12.4,17.6,9.1,15.2,14.8,7.4,4.1,38.0,19.1,24.9,937.0,2867.0,1083.0,16.8,38.9,29.9,15.7,6.7,51.0,55.7,23.0,5.6,9.3,15.9,7.2,6.1,19.6,4.0,48.7,44.3,1.1
2012,51720,"Norton city, Virginia",15.0,2.72,5.6,12.1,8.3,16.0,10.1,10.8,27.9,7.1,6.7,37.1,16.7,26.2,247.0,585.0,334.0,10.4,42.2,31.4,23.6,9.9,33.7,57.7,26.5,7.7,11.1,15.9,8.0,5.2,12.6,1.4,90.1,7.3,0.0
2012,51750,"Radford city, Virginia",18.9,3.02,10.3,17.7,9.1,18.2,8.7,16.2,14.2,6.9,6.5,23.0,13.3,14.9,305.0,1590.0,1175.0,7.9,34.5,39.9,6.6,11.1,56.9,52.9,31.8,27.3,9.8,8.7,3.8,2.5,8.5,2.3,85.6,8.1,1.7
2012,51770,"Roanoke city, Virginia",16.9,2.75,7.7,11.4,7.1,13.7,14.1,16.2,18.5,9.2,6.1,29.8,14.5,18.8,4931.0,20021.0,9782.0,13.6,38.8,31.9,13.9,8.9,40.5,52.4,24.0,6.6,15.0,14.3,6.6,6.2,14.3,5.3,62.1,27.6,1.8
2012,51775,"Salem city, Virginia",11.2,2.93,7.8,4.3,6.9,12.1,12.7,16.8,20.6,9.8,9.5,32.8,22.1,9.0,834.0,4828.0,2871.0,6.2,34.7,38.7,14.6,8.0,39.5,52.7,25.2,8.5,10.2,14.6,6.5,6.6,16.6,2.5,87.3,7.2,1.6
2013,51005,"Alleghany County, Virginia",11.5,2.9,7.1,7.6,7.1,14.0,10.6,14.5,19.9,11.0,11.6,45.8,23.3,10.2,757.0,4370.0,1124.0,7.5,23.0,31.2,18.2,9.9,35.3,51.1,22.6,4.5,8.7,15.2,8.5,6.6,21.7,1.3,92.2,5.2,0.2
2013,51019,"Bedford County, Virginia",8.8,3.03,6.9,4.7,4.4,9.2,10.5,14.1,20.3,15.2,14.4,35.3,22.4,7.9,2012.0,16112.0,8202.0,3.8,20.4,37.7,18.4,9.1,39.9,50.6,23.7,4.7,9.0,16.8,8.4,7.1,17.0,1.7,90.0,5.6,1.0
2013,51021,"Bland County, Virginia",11.3,2.77,8.1,9.7,7.1,14.0,11.1,21.7,18.6,7.5,7.6,46.0,31.1,15.2,415.0,2044.0,493.0,4.8,33.8,26.7,22.6,12.6,35.6,43.5,18.9,5.5,11.6,15.1,8.0,7.3,18.1,0.3,94.5,4.9,0.0
2013,51023,"Botetourt County, Virginia",7.9,3.04,5.5,3.0,3.9,8.1,8.6,12.5,20.1,18.6,15.3,35.1,20.7,4.6,712.0,8056.0,4097.0,2.1,20.2,38.7,22.7,6.8,30.1,50.8,23.9,4.3,8.1,17.4,7.9,8.1,17.9,1.2,93.8,3.5,0.1
2013,51027,"Buchanan County, Virginia",15.4,2.69,11.4,13.4,11.4,17.5,12.4,15.1,14.9,7.9,5.7,53.9,20.9,23.1,2984.0,6169.0,972.0,7.8,29.6,35.1,14.6,5.6,56.1,49.5,20.3,5.5,11.5,16.4,8.3,7.4,17.6,0.5,95.9,2.1,0.8
2013,51035,"Carroll County, Virginia",12.7,2.69,8.3,8.8,8.8,18.3,16.6,14.5,17.1,8.2,6.3,40.4,22.5,16.0,2158.0,7343.0,1906.0,6.5,29.0,36.4,10.4,10.6,38.8,50.0,22.2,4.8,9.4,14.9,8.3,7.3,20.0,2.8,95.5,0.8,0.1
2013,51045,"Craig County, Virginia",9.6,2.93,6.0,3.3,8.1,11.5,14.1,15.1,24.7,12.5,10.1,35.8,26.5,11.3,231.0,1577.0,386.0,4.5,20.6,33.7,8.6,0.0,6.2,51.5,27.2,2.0,8.5,14.2,8.9,9.3,17.0,0.0,97.0,0.2,0.4
2013,51051,"Dickenson County, Virginia",14.4,2.75,10.0,11.5,9.8,16.5,15.2,13.9,17.9,7.8,6.3,51.7,23.7,20.2,1561.0,4017.0,700.0,9.4,27.6,39.8,12.7,8.6,58.9,49.5,22.7,5.4,11.8,15.2,6.5,8.5,17.4,0.6,98.3,0.5,0.1
2013,51063,"Floyd County, Virginia",10.5,2.87,8.2,5.3,9.5,11.8,9.6,19.9,22.3,11.5,7.1,34.8,16.0,12.8,1005.0,4087.0,1305.0,4.3,24.1,36.1,46.1,10.4,10.7,50.4,23.1,4.4,10.9,14.7,6.5,9.1,18.4,2.7,94.1,1.4,0.6
2013,51067,"Franklin County, Virginia",11.0,2.84,8.3,6.5,6.8,13.2,11.5,16.0,19.0,12.6,9.3,39.0,22.3,13.0,3068.0,13520.0,5047.0,5.2,24.0,35.8,13.8,11.2,38.1,50.6,23.2,5.4,9.9,15.3,7.8,7.6,18.6,2.6,87.4,8.3,0.2
2013,51071,"Giles County, Virginia",11.3,2.97,6.7,6.6,8.0,14.1,10.6,15.7,21.0,12.2,8.0,41.1,26.2,11.3,1003.0,4506.0,1225.0,7.8,26.6,38.0,22.4,6.9,32.9,51.4,23.4,5.9,10.0,14.5,6.7,7.7,18.6,1.3,95.7,1.2,0.3
2013,51077,"Grayson County, Virginia",13.9,2.81,8.4,9.5,9.0,21.0,15.4,11.1,20.7,6.8,5.0,45.1,18.0,19.7,1432.0,4335.0,891.0,6.9,25.4,39.8,19.1,8.0,41.3,51.5,20.8,4.6,9.5,15.3,8.1,8.0,21.9,2.7,94.0,2.0,0.0
2013,51089,"Henry County, Virginia",14.9,2.72,13.1,9.2,8.0,17.0,15.8,16.7,17.3,9.3,4.6,40.6,23.3,17.9,3548.0,13325.0,2937.0,6.8,30.7,32.2,18.0,8.3,35.9,52.1,22.5,5.2,10.0,15.5,7.4,6.9,20.1,4.9,71.1,21.6,0.5
2013,51105,"Lee County, Virginia",15.5,2.67,11.2,13.1,10.6,17.9,12.7,16.0,16.2,8.5,4.1,51.7,23.0,22.8,2606.0,6095.0,1424.0,8.4,30.0,35.0,14.7,5.9,47.7,47.7,21.8,5.7,12.7,14.6,7.9,6.1,16.8,1.7,94.5,2.8,0.1
2013,51121,"Montgomery County, Virginia",14.8,3.19,6.3,12.2,6.6,12.7,7.6,15.1,16.8,11.0,10.3,22.4,16.4,7.6,1931.0,11566.0,10573.0,5.7,32.2,36.8,7.6,7.0,54.1,48.1,26.3,20.5,12.9,10.4,4.8,4.6,9.9,2.8,85.4,4.0,5.7
2013,51141,"Patrick County, Virginia",12.8,2.82,10.9,8.9,8.8,14.7,17.8,17.4,17.7,8.7,5.0,45.6,23.4,15.2,1525.0,4621.0,987.0,5.6,29.7,34.3,15.3,15.8,32.9,51.0,20.8,4.7,8.4,15.4,7.9,7.7,22.2,2.5,90.1,6.5,0.0
2013,51143,"Pittsylvania County, Virginia",12.9,2.81,9.3,7.8,7.4,13.7,13.4,16.3,19.9,10.4,7.9,38.5,22.8,14.6,3942.0,16255.0,4315.0,5.5,25.4,34.8,16.5,8.9,38.7,50.9,22.9,5.2,10.0,16.3,8.1,7.1,18.1,2.2,74.3,21.6,0.3
2013,51155,"Pulaski County, Virginia",12.3,2.84,9.0,8.2,5.7,13.5,11.0,17.1,21.0,11.4,8.2,38.5,26.0,14.2,1783.0,8338.0,2845.0,7.2,29.7,35.7,17.8,9.1,40.5,50.2,21.1,5.5,10.6,15.0,8.1,7.1,18.7,1.3,91.4,5.4,0.6
2013,51161,"Roanoke County, Virginia",9.0,3.05,5.6,3.8,3.8,8.4,9.8,14.1,20.0,16.2,15.5,34.4,21.3,5.3,2204.0,17619.0,14425.0,3.9,29.2,38.5,16.2,9.0,31.7,52.2,23.8,5.0,10.2,15.2,7.6,6.9,17.9,2.3,88.0,5.4,2.6
2013,51167,"Russell County, Virginia",13.6,2.77,7.9,10.9,10.9,15.5,14.6,12.6,16.9,10.5,5.8,49.1,21.0,19.4,2869.0,7696.0,1355.0,8.6,29.2,32.0,18.3,4.7,50.5,50.8,21.9,5.6,11.3,15.6,8.4,6.9,17.2,0.3,97.1,1.4,0.3
2013,51169,"Scott County, Virginia",12.6,2.83,9.5,10.2,8.5,15.7,11.4,17.3,17.2,10.0,8.0,46.2,24.4,14.8,2514.0,6503.0,1207.0,9.1,26.8,31.8,21.1,4.4,43.6,49.9,21.2,5.4,10.8,14.9,7.8,7.0,20.1,1.1,97.2,0.6,0.4
2013,51173,"Smyth County, Virginia",13.8,2.69,8.1,8.8,9.3,15.6,13.6,17.4,17.0,9.6,6.1,40.2,21.3,16.4,2267.0,8907.0,2119.0,8.4,33.0,34.6,20.0,6.5,38.5,51.2,23.0,5.6,10.5,14.7,7.7,6.7,18.8,1.7,94.9,2.0,0.3
2013,51185,"Tazewell County, Virginia",13.1,2.69,8.6,9.0,9.8,17.8,12.5,15.6,14.6,9.8,7.5,48.7,21.8,16.5,3496.0,11205.0,2645.0,9.0,29.4,35.8,14.3,7.2,39.4,50.5,22.6,5.3,11.7,14.6,8.3,7.2,17.6,0.7,94.4,2.5,0.4
2013,51191,"Washington County, Virginia",11.3,2.72,7.1,7.6,5.7,13.9,14.5,15.7,18.6,10.8,8.4,41.8,20.7,12.0,3180.0,13022.0,5521.0,6.2,29.9,37.9,15.7,10.8,28.9,50.9,22.2,5.5,10.7,15.3,6.9,7.9,18.3,1.3,96.0,1.3,0.4
2013,51195,"Wise County, Virginia",15.0,2.79,10.7,11.6,9.8,15.1,11.8,13.4,17.6,10.1,8.0,44.6,20.1,20.0,3639.0,9305.0,2403.0,9.2,30.5,39.0,15.6,5.2,49.0,48.1,23.5,7.5,13.6,14.1,6.1,7.5,14.4,1.2,92.2,5.0,0.4
2013,51197,"Wythe County, Virginia",12.2,2.92,9.8,8.2,7.1,15.7,10.8,17.9,17.9,11.0,8.0,40.7,23.4,13.5,1552.0,7634.0,2097.0,6.9,29.6,34.6,16.8,6.4,35.8,50.7,22.8,5.2,10.7,14.8,7.0,7.9,18.1,1.0,94.3,3.8,0.6
2013,51515,"Bedford city, Virginia",16.7,2.91,6.6,17.2,7.4,12.6,11.6,16.9,17.4,5.4,9.5,41.8,26.0,18.0,294.0,1440.0,732.0,17.7,38.7,26.9,9.8,7.9,53.0,55.0,19.8,7.5,9.6,16.8,9.0,3.7,24.2,1.8,75.3,21.0,0.0
2013,51520,"Bristol city, Virginia",15.9,2.82,12.7,11.3,8.6,17.8,15.1,16.2,17.3,8.1,3.8,42.0,19.8,19.6,902.0,4318.0,1625.0,11.6,38.9,35.5,14.9,9.0,37.4,53.5,23.2,6.1,12.5,14.0,6.4,6.4,19.0,0.9,90.0,6.5,0.9
2013,51580,"Covington city, Virginia",15.4,2.7,5.8,10.1,5.6,18.2,17.4,17.6,14.5,10.0,4.5,38.8,26.2,11.7,184.0,1498.0,198.0,5.6,44.4,34.5,13.9,6.3,38.0,49.7,25.3,6.9,7.2,18.1,5.8,6.2,18.2,2.4,82.3,12.3,0.6
2013,51590,"Danville city, Virginia",21.6,2.5,15.6,13.6,11.1,16.9,13.5,15.9,14.4,6.6,5.0,39.0,24.6,25.6,2493.0,8614.0,3175.0,15.5,38.3,29.6,12.2,5.7,46.2,54.3,24.3,7.1,11.3,13.6,7.2,7.0,19.0,3.0,46.1,48.3,1.1
2013,51640,"Galax city, Virginia",14.2,2.77,7.4,13.3,8.8,22.6,11.2,12.6,17.1,6.5,5.2,44.5,20.2,23.3,570.0,1689.0,480.0,13.3,35.4,25.4,18.7,10.9,36.2,54.0,23.4,3.7,16.0,12.8,5.8,6.2,23.1,14.7,80.3,3.1,0.1
2013,51690,"Martinsville city, Virginia",22.6,2.67,14.0,17.8,11.0,18.1,9.3,14.2,13.9,7.6,5.0,38.3,19.7,28.3,921.0,2797.0,941.0,17.7,37.4,28.2,16.0,6.6,52.2,54.5,23.8,6.0,9.8,15.4,7.1,6.2,19.8,4.1,47.9,44.6,0.2
2013,51720,"Norton city, Virginia",16.0,2.78,8.0,16.6,7.7,11.4,9.7,12.2,30.0,5.0,5.9,37.7,17.0,25.8,263.0,606.0,368.0,12.6,39.7,33.0,25.2,9.9,36.0,59.2,24.8,9.0,9.7,15.3,6.0,9.0,12.1,2.3,90.4,6.7,0.0
2013,51750,"Radford city, Virginia",19.7,3.05,8.6,18.6,10.7,15.3,8.3,15.7,14.1,6.7,7.9,22.9,9.2,11.6,411.0,1334.0,1222.0,5.3,39.3,37.9,6.6,7.7,58.6,52.7,29.0,31.0,9.6,8.1,3.6,2.8,8.3,2.6,84.8,8.0,1.7
